AccessionsID,ProteinAccessions,Qvalue,Genes,ProteinDescriptions,ProteinNames,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,NC1,NC2,NC3
O15335,O15335,0.0724732,CHAD,Chondroadherin,CHAD_HUMAN,-4.555720016,-3.442884156,-6.836723923,-4.087669907,-3.825083246,-4.253288137,-2.863398834,-5.344729567,-3.651859864,-5.335457366,-7.184602937,-4.46031136,-4.578577146
O15439,O15439,0.052685914,ABCC4,Multidrug resistance-associated protein 4,MRP4_HUMAN,3.508936409,1.566955205,0.360072592,1.420030097,-0.05690062,1.170913296,-0.37502043,1.342705409,2.77542292,-1.152256511,0.393465945,0.81227163,1.465242438
O15467,O15467,0.124800704,CCL16,C-C motif chemokine 16,CCL16_HUMAN,-5.011180769,-3.534884466,-3.081532372,-5.534946951,-5.275236511,-3.611281771,-6.021526777,-6.0151797,-4.991613829,-8.133635495,-4.731302675,-7.211621565,-5.817295258
O15511,O15511,0.171606061,ARPC5,Actin-related protein 2/3 complex subunit 5,ARPC5_HUMAN,-5.108191492,-5.653752408,-6.117035249,-5.440355158,-3.53686151,-6.457109814,-5.378909892,-3.158186906,-5.988955008,-4.559505073,-4.364845379,-8.190551249,-7.479253779
O43157,O43157,0.160236902,PLXNB1,Plexin-B1,PLXB1_HUMAN,1.203416004,2.276564016,0.360072592,1.824040043,1.209525328,1.060873954,0.02767301,1.060945469,-0.235995483,2.037878365,0.864788414,0.487314368,1.95952156
O43278,O43278,0.06775954,SPINT1,Kunitz-type protease inhibitor 1,SPIT1_HUMAN,-4.835311605,-4.173849106,-5.039805317,-3.478467786,-4.986275705,-6.457109814,-4.108285875,-3.563841881,-4.516852157,-3.291077765,-2.326749862,-2.113568063,-3.401711007
O43291,O43291,0.133408302,SPINT2,Kunitz-type protease inhibitor 2,SPIT2_HUMAN,-4.295408783,-2.542532925,-5.567005507,-5.3924029,-6.577179727,-4.218349232,-4.862457141,-5.684029991,-5.027717517,-1.754779456,-6.358213419,-5.170582585,-3.087509079
O43707,O43707,0.020664702,ACTN4,Alpha-actinin-4,ACTN4_HUMAN,-3.304602756,-5.972587357,-3.046349408,-3.831771291,-6.500773603,-7.149178104,-3.413252498,0.713959135,-0.908754843,-1.695114192,-5.785889352,-3.169450267,-1.982997318
O43790,O43790;P78385;P78386;Q14533,0.065830702,KRT86;KRT83;KRT85;KRT81,"Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb5;Keratin, type II cuticular Hb1",KRT86_HUMAN;KRT83_HUMAN;KRT85_HUMAN;KRT81_HUMAN,-0.381352382,-2.969618038,-1.592865228,-2.789879799,-0.358618307,-2.838993235,0.923112178,-0.267849911,-1.469699527,-0.115317902,-0.548530591,-0.995351892,0.343526492
O43852,O43852,0.12743142,CALU,Calumenin,CALU_HUMAN,-1.558589432,-2.456750291,-1.606335968,-3.731009859,-1.290399326,-1.714106981,-4.685443293,-3.25274322,-3.67723826,-1.798939987,-0.884397864,-1.516212114,2.503929494
O43866,O43866,0.000185688,CD5L,CD5 antigen-like,CD5L_HUMAN,1.593150167,2.613555068,2.395349001,2.195178612,2.057001947,2.020127826,1.97843495,1.874916526,1.761835971,2.037564763,2.958487062,1.833227972,2.546206112
O43895,O43895,0.181168468,XPNPEP2,Xaa-Pro aminopeptidase 2,XPP2_HUMAN,-2.070895197,-1.384446011,3.072039788,-4.087669907,-5.579350302,-1.878231805,-0.34066057,-0.714137435,-0.235995483,-3.941833511,0.284602108,-3.319281569,-1.401395911
O60237,O60237,0.142207648,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,MYPT2_HUMAN,-1.210337665,-2.18285657,-0.897507838,-1.539508005,-3.556331742,-3.537906506,-3.792036333,0.040303825,-1.79360959,-0.925249151,-4.773097444,-1.677106515,-2.36204037
O60264,O60264;P28370,0.014191561,SMARCA5;SMARCA1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1,SMCA5_HUMAN;SMCA1_HUMAN,-5.868321193,-5.275034292,-2.91861369,-4.885046381,-3.676677718,-6.265110054,-4.856174504,-7.468835003,-5.027717517,-6.120756533,-2.682372117,-4.46031136,-2.921712573
O60462,O60462,0.075072294,NRP2,Neuropilin-2,NRP2_HUMAN,-0.784155706,1.182017725,-1.479437079,-0.900236119,-2.068041785,-3.466758291,-6.039118017,-3.360807676,-5.204425208,-3.039035367,-3.391577091,-1.719192439,-2.264483477
O60664,O60664,0.153753151,PLIN3,Perilipin-3,PLIN3_HUMAN,-5.985285006,-7.636954701,-3.369256168,-3.831771291,-2.351525767,-2.142504399,-4.685443293,-2.117850182,-3.867682045,-1.695114192,-5.785889352,-4.018697906,-3.468257577
O75023,O75023,0.18588267,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5,LIRB5_HUMAN,3.838601314,2.659368099,6.023874038,1.647340215,0.088175721,2.568578737,1.569081134,3.451622055,4.202143,0.411967783,3.420704745,2.642688784,4.475426624
O75144,O75144,0.036520658,ICOSLG,ICOS ligand,ICOSL_HUMAN,-4.804821212,-5.166726997,-4.542605956,-4.846493318,-5.616762999,-6.264572465,-3.072955396,-3.142029679,-3.658046349,-2.818619868,-7.321768848,-4.018697906,0.0128834
O75460,O75460,0.009839333,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1_HUMAN,0.843755146,1.311493018,2.717863331,3.258925976,2.524136954,2.648587953,1.49970413,2.425106471,0.700139642,1.405964346,1.023545118,0.814372838,0.648222151
O75636,O75636,0.009839333,FCN3,Ficolin-3,FCN3_HUMAN,-0.096996483,0.354637586,0.588764024,0.593310462,-0.195471919,-0.357073443,-0.665624437,-0.124344992,-0.727535199,0.338865568,-0.508339379,-0.605207351,-1.058686041
O75711,O75711,0.195421171,SCRG1,Scrapie-responsive protein 1,SCRG1_HUMAN,-0.624385938,-1.970437225,-0.794365589,-4.438836724,-1.225610608,-0.642923525,-2.728571261,-1.035999302,-1.786247562,-3.293280636,-1.435665126,-2.532830677,-3.216071427
O75821,O75821,0.012464155,EIF3G,Eukaryotic translation initiation factor 3 subunit G,EIF3G_HUMAN,-0.885988807,-0.889349343,-1.592865228,-0.17422874,-0.635192183,-1.048990446,-0.980253813,0.27790967,-1.246010947,-1.645059591,-2.003777655,-1.358525065,-2.119562901
O75874,O75874,0.041424343,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDHC_HUMAN,-4.462682339,-3.724381005,-1.88306803,-1.379119252,-0.358618307,-1.115229491,-0.000955335,-0.765082097,-0.34023427,1.413422778,-0.066430616,-1.195024369,-0.47532711
O75882,O75882,0.003151412,ATRN,Attractin,ATRN_HUMAN,0.174667053,-0.896883002,-1.002851781,-0.78382335,-0.166004095,-0.713798045,-0.715033272,-0.631624729,-0.778484695,-0.337371413,-0.884397864,-1.237947146,-1.061896218
O94923,O94923,0.154395247,GLCE,D-glucuronyl C5-epimerase,GLCE_HUMAN,-0.986756116,-3.264809311,-0.770748117,-6.038687624,-7.485217375,-2.621174888,-2.235538005,-3.828486267,0.505538224,-3.36084682,-4.106200302,-1.050278207,-0.255930245
O94985,O94985,0.008315312,CLSTN1,Calsyntenin-1,CSTN1_HUMAN,-5.628279685,-4.173849106,-5.567005507,-5.105577803,-4.811893986,-4.906048449,-4.433442941,-4.820932554,-6.079776982,-1.748919683,-4.433658216,-3.086421711,-3.468838491
O95236,O95236,0.021314643,APOL3,Apolipoprotein L3,APOL3_HUMAN,-2.36365351,-4.828856617,-2.38805471,-4.435852064,-3.423813929,-2.525987377,-4.108285875,1.605456188,-2.434061229,-1.88088547,-2.722877927,-2.29116586,-2.76606335
